"name","sku","category","subcategory","childcategory","product_group","unit","brand","alert_quantity","vat_percent","minimum_sale_price","minimum_wholesale_price","barcode","purchase_price","selling_price","discount_type","discount_value","wholesale_price","minimum_wholesale_quantity","size","color","opening_stock_qty","opening_stock_purchase_price_rate","author"
"Modest Cord's Set - 1","","Modest Cord's Set","","","","Pcs","","0","0","0","0","95624544","2350","2850","Amount","0","0","0","Free Size","Baby Pink","0","2350",""
"Modest Cord's Set - 1","","Modest Cord's Set","","","","Pcs","","0","0","0","0","95624616","2350","2850","Amount","0","0","0","Free Size","Milty Olive","0","2350",""
"Modest Cord's Set - 1","","Modest Cord's Set","","","","Pcs","","0","0","0","0","95624620","2350","2850","Amount","0","0","0","Free Size","Black","0","2350",""
"Modest Cord's Set - 1","","Modest Cord's Set","","","","Pcs","","0","0","0","0","95624624","2350","2850","Amount","0","0","0","Free Size","Copper Brown","0","2350",""
"Modest Cord's Set - 1","","Modest Cord's Set","","","","Pcs","","0","0","0","0","95624628","2350","2850","Amount","0","0","0","Free Size","Dusty Pink","1","2350",""
"Modest Cord's Set - 1","","Modest Cord's Set","","","","Pcs","","0","0","0","0","95624631","2350","2850","Amount","0","0","0","Free Size","Red Maroon","0","2350",""
"Modest Cord's Set - 2","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60488528","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Natural green","0","2350",""
"Modest Cord's Set - 2","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60488530","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Black","0","2350",""
"Modest Cord's Set - 2","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60488532","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Creami beige Color","0","2350",""
"Modest Cord's Set - 2","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60488534","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Onion Pink","0","2350",""
"Modest Cord's Set - 2","","Modest Cord's Set","","","","Pcs","","0","0","0","0","92014273","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","dusty rose","0","2350",""
"Modest Cord's Set - 3","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60833578","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Brick Color","0","2350",""
"Modest Cord's Set - 3","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60833697","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Red wine Color","0","2350",""
"Modest Cord's Set - 3","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60833705","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Olive colour","0","2350",""
"Modest Cord's Set - 3","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60833711","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Dusty pink","13","2350",""
"Modest Cord's Set - 3","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60833717","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Black","1","2350",""
"Modest Cord's Set - 3","","Modest Cord's Set","","","","Pcs","","0","0","0","0","60833724","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Nude pink","1","2350",""
"Modest Cord's Set - 4","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61220517","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Deep blue","0","2350",""
"Modest Cord's Set - 4","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61220843","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Red Maroon","6","2350",""
"Modest Cord's Set - 4","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61220846","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Coffee","0","2350",""
"Modest Cord's Set - 4","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61220849","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","White","0","2350",""
"Modest Cord's Set - 4","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61220851","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Mauve brown","0","2350",""
"Modest Cord's Set - 4","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61220853","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Black","0","2350",""
"Modest Cord's Set - 5","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61373825","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Black","0","2350",""
"Modest Cord's Set - 5","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61373868","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Lighty blue","1","2350",""
"Modest Cord's Set - 5","","Modest Cord's Set","","","","Pcs","","0","0","0","0","94505822","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Beige colour","0","2350",""
"Modest Cord's Set - 6","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61578745","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Red Maroon","0","2350",""
"Modest Cord's Set - 6","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61578794","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Caramel beige","0","2350",""
"Modest Cord's Set - 6","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61578797","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Olive","0","2350",""
"Modest Cord's Set - 6","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61578798","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Light lavender","0","2350",""
"Modest Cord's Set - 6","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61578801","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Gray ash","0","2350",""
"Modest Cord's Set - 6","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61578802","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Dusty pink","1","2350",""
"Modest Cord's Set - 6","","Modest Cord's Set","","","","Pcs","","0","0","0","0","16464929","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","blue","0","2350",""
"Modest Cord's Set - 7","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61841213","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","White","0","0",""
"Modest Cord's Set - 7","","Modest Cord's Set","","","","Pcs","","0","0","0","0","61841363","2350","2850","Amount","0","0","0","Free Size Up to 34 to 46","Light coffee","0","0",""
